COD,CLIENTE+RAGIONE SOCIALE;ISO;VAT
07080044    |GCV SPARE PARTS LTD;CY;10032185I
07080051    |ROLBA SVENSKA AB;SE;556085290601
07080082    |AMPHITEC B.V.;NL;810148535B01
07080085    |HSP PARTNERS S.R.O.;CZ;25910060
07080092    |TONI MAURER GMBH & CO. KG;DE;129205077
07080106    |HYDRAMOBIL AB;SE;556213724901
07080164    |MATIMPORT-MATERIAS IMPORTACAO, LDA;PT;502534702
07080200    |GEB. PUHRINGER GMBH;AT;U22325703
07080257    |HCT LUX AG                  Z.I.ESELBORN;LU;20327588
07080436    |IPH FRANCE;FR;00353970262
07080445    |URO  VEHICULOS ESPECIALES S.A.;ES;A15047863
07080556    |NESTEPAINE OY;FI;09308239
07080598    |INTERSEAL S.A.;ES;A08646200
07080610    |MOTORRENS S.L.                POLIGON IN;ES;B43070200
07080666    |KIERAN TREHY HYDRAULICS;IE;0289413Q
07080668    |TERBERG BENSCHOP B.V.;NL;003948122B16
07080682    |OY EUR-MARK AB;FI;08784997
07080731    |SUNFAB HYDRAULICS AB;SE;556056976501
07080798    |ATHENS HYDRODYNAMIC S.A.;EL;094062585
07080812    |INDUSTRIAS J. CORTES S.L.;ES;B50304633
07080867    |HYVA INTERNATIONAL B.V.;NL;800932870B01
07080901    |VIOMICH.METAL.AMAXOM.PANAOS LTD.;CY;10038978F
07080908    |IVECO AUSTRIA GES.M.B.H;AT;U16028000
07080914    |IVECO MAGIRUS AG;DE;147032117
07080929    |DIPL.ING.DR.TECHN.HEINZ ZOEBL EIN-UND;AT;U15975309
07080978    |MAGIRUS GMBH;DE;141995414
07081004    |FELDBINDER GMBH;DE;811177985
07081020    |MOBILE POWER HYDRAULIK KFT.;HU;10788457
07081024    |FARID COMERCIA s.r.o.;CZ;61498696
07081037    |ROSENBAUER INTERNATIONAL AG;AT;U22669609
07081163    |HIDRAULIKA KURELJA d.o.o;HR;30929005951
07081211    |PK d.o.o.;HR;07930503403
07081235    |RENAULT TRUCKS VENISSIEUX;FR;61954506077
07081272    |RENAULT TRUCKS;FR;61954506077
07081274    |SOVAB (Renault SaS);FR;69319851408
07081307    |LENHARDT GmbH;AT;U28739309
07081343    |HIRSCHMUGL GmbH & Co.KG;AT;U30236704
07081357    |RENAULT TRUCKS BOURG;FR;61954506077
07081358    |RENAULT TRUCKS BLAINVILLE;FR;61954506077
07081365    |EATON TRUCK COMPONENTS S.p.z.o.o.;PL;5930103464
07081369    |BASIN d.o.o.NOVA GORICA;SI;68921241
07081390    |VOLVO PARTS CORPORATION;BE;0464866263
07081409    |PTO-TEKNIK A/S,;DK;26032709
07081454    |SCANIA CV AB;SE;556084097601
07081463    |WINKLER LOGISTIK GMBH  -  ULM BRANCH;DE;147846203
07081507    |HYDRASPECMA OY;FI;02926077
07081513    |PRO LIFT OU;EE;100647606
07081515    |HEWEA sp.z.o.o.;PL;8981957433
07081525    |WOHLGENANNT OTTO Ges.m.b.H.;AT;U36218507
07081544    |FLT FORKLIFT TRADING GMBH;DE;142392742
07081548    |FLOWTECH FLUIDPOWER IRELAND LIMITED T/A;IE;6384225W
07081549    |FLOWTECH FLUIDPOWER IRELAND LIMITED T/A;IE;6384225W
07081550    |OY NORDICPARTS AB;FI;17057978
07081577    |DAIMLER TRUCK AG;DE;321281771
07081619    |THOMAS LINDNER GMBH;DE;140460880
07081686    |MOVICONTROL BIBUS, S.A.;PT;501794638
07081693    |WINKLER LOGISTIK GMBH BETRIEB LOHFELDEN;DE;147846203
07081706    |FEYERTAG FAHRZEUGBAU TECHNIK GMBH & CO.;AT;U61344655
07081726    |VOLVO PARTS CORPORATION;SE;556365974601
07081735    |ES HYDAGENT AB;SE;556524329101
07081741    |HIDRAVLIK SERVIS D.O.O. POSTOJNA;SI;51249103
07081742    |TRS TRANSPORTKOELING B.V.;NL;005761062B01
07081767    |IVECO ESPANA S.L.  COD.FORNIT. 101415;ES;B61768511
07081770    |HIDROT KFT;HU;11011578
07081802    |DOESBURG COMPONENTS B.V.;NL;008559995B01
07081808    |FPT POWERTRAIN TECHNOLOGIES FRANCE SA;FR;49350693586
07081819    |TURUN AUTOTYO OY;FI;04295969
07081820    |IVECO ESPANA S.L.   COD.FORNIT. 101415;ES;B61768511
07081827    |SCANIA CV AB                      SUPPL.;BE;0457140115
07081832    |DAF TRUCKS N.V.;NL;801426972B01
07081888    |SCANIA DEUTSCHLAND GMBH - 906364/REF.NR.;DE;148787117
07081900    |HYVA GERMANY GMBH;DE;120827364
07081910    |RENAULT TRUCKS DAC;FR;61954506077
07081918    |SCANIA CV AB UNIT 0008 SUPPLIER CODE 746;FR;71403166002
07081920    |MAGIRUS LOHR GMBH;AT;U42721006
07081921    |SCHMITTER HYDRAULIK GMBH;DE;814807823
07081925    |SCANIA CV AB - SCANIA CHASSIS UNIT 0055;SE;556084097601
07081926    |SCANIA CV AB UNIT 0009         SUPPLIER;NL;802661178B01
07081936    |HID-EM-GEP BT;HU;21541887
07081938    |HYDRA-COMP A/S;DK;30566955
07081963    |LE-TEHNIKA d.o.o.;SI;41065751
07081968    |GIF MODUL KFT.;HU;13104386
07081971    |SCANIA CV AB SCANIA TRANSMISSION UNIT 00;SE;556084097601
07081984    |DAF TRUCKS N.V.;NL;801426972B01
07081989    |SAXAS NUTZFAHRZEUGE WERDAU GMBH;DE;814008053
07081990    |VOLVO GROUP BELGIUM NV;BE;0420383647
07081991    |HIDRAULINES SISTEMOS;LT;351976917
07082002    |HYDROTECH LTD;BG;123761485
07082017    |RACHER GMBH MASCHINEN-HYDRAULIK;AT;U61314811
07082031    |ZF FRIEDRICHSHAFEN AG - COMMERCIAL VEHIC;DE;145374190
07082041    |M-U-T MASCHINEN-UMWELTTECHNIK-TRANSPORTA;AT;U18322704
07082071    |MOUVEX - BLACKMER S.A.S.;FR;85389236548
07082081    |ZF FRIEDRICHSHAFEN AG, ZF AFTERMARKET;DE;145374190
07082087    |SIA PRO LIFT;LV;40003858061
07082108    |DUNST KFZ. U.HYDRAULIK GMBH;AT;U62840377
07082117    |ZF HUNGARIA KFT;HU;11169176
07082134    |DLUV DIETSCH LOGISTIK UND VERKAUFSBERATU;DE;813794749
07082143    |OUDSHOORN HYDRAULICS B.V.;NL;812298378B01
07082150    |MEKO FINLAND OY;FI;01101110
07082151    |HANSA-FLEX AG ZENTRALE;DE;170352164
07082157    |SMTransmissionservice AB;SE;556349592701
07082173    |PAH PROIZVODNJA HIDRAVLICNIH KOMPONENT d;SI;12700690
07082179    |PROYTEC FLUIDOS, S.L.;ES;B85827483
07082195    |PAUL NUTZFAHRZEUGE GMBH;DE;261472537
07082208    |DAIMLER TRUCK AG;DE;321281771
07082227    |CAB'S INDUSTRIES;FR;95340129105
07082238    |VOZILA ZORA d.o.o.;HR;74598986353
07082241    |RENAULT S.A.S. MPR/CF 239272;FR;66780129987
07082245    |AMAB HYDRAUL AB;SE;556122283601
07082247    |SOVAB / CF 239272;FR;69319851408
07082249    |EUROWIND KFT;HU;22956806
07082255    |PADOAN DEUTSCHLAND GmbH;DE;815197269
07082257    |PAUL WIEGAND GmbH;DE;172280153
07082262    |HYVA HUNGARY KFT;HU;14185272
07082287    |M+T DRUCKWASSERTECHNIK GMBH;DE;813448783
